peak_id,Chr,Start,End
Tb927.1.05,Tb927_01_v5.1,380,1983
Tb927.1.10,Tb927_01_v5.1,6870,7203
Tb927.1.20,Tb927_01_v5.1,7553,8566
Tb927.1.30,Tb927_01_v5.1,11157,11865
Tb927.1.40,Tb927_01_v5.1,12406,41394
Tb927.1.60,Tb927_01_v5.1,41685,43953
Tb927.1.70,Tb927_01_v5.1,44936,47043
Tb927.1.90,Tb927_01_v5.1,50427,52253
Tb927.1.100,Tb927_01_v5.1,52833,59047
Tb927.1.110,Tb927_01_v5.1,59857,60184
Tb927.1.120,Tb927_01_v5.1,60217,62886
Tb927.1.180,Tb927_01_v5.1,69660,72469
Tb927.1.190,Tb927_01_v5.1,74918,77979
Tb927.1.220,Tb927_01_v5.1,85610,88419
Tb927.1.240,Tb927_01_v5.1,88985,99145
Tb927.1.270,Tb927_01_v5.1,106146,107927
Tb927.1.275,Tb927_01_v5.1,107288,110934
Tb927.1.280,Tb927_01_v5.1,111939,112743
Tb927.1.290,Tb927_01_v5.1,113065,119201
Tb927.1.300,Tb927_01_v5.1,120951,129674
Tb927.1.320,Tb927_01_v5.1,129264,131017
Tb927.1.330,Tb927_01_v5.1,131091,132929
Tb927.1.350,Tb927_01_v5.1,133483,136578
Tb927.1.370,Tb927_01_v5.1,138323,144466
Tb927.1.370,Tb927_01_v5.1,138323,144568
Tb927.1.380,Tb927_01_v5.1,144594,146629
Tb927.1.400,Tb927_01_v5.1,147244,151108
Tb927.1.410,Tb927_01_v5.1,151226,153022
Tb927.1.420,Tb927_01_v5.1,156333,158411
Tb927.1.430,Tb927_01_v5.1,159056,166610
Tb927.1.450,Tb927_01_v5.1,167798,174153
Tb927.1.470,Tb927_01_v5.1,179613,181645
Tb927.1.480,Tb927_01_v5.1,181773,187918
Tb927.1.490,Tb927_01_v5.1,189655,190499
Tb927.1.500,Tb927_01_v5.1,190647,196430
Tb927.1.520,Tb927_01_v5.1,196704,198050
Tb927.1.530,Tb927_01_v5.1,202545,203648
Tb927.1.530,Tb927_01_v5.1,202545,204045
Tb927.1.540,Tb927_01_v5.1,204248,208483
Tb927.1.560,Tb927_01_v5.1,208606,210085
Tb927.1.570,Tb927_01_v5.1,210202,211427
Tb927.1.580,Tb927_01_v5.1,211571,214108
Tb927.1.600,Tb927_01_v5.1,214645,217809
Tb927.1.610,Tb927_01_v5.1,218080,219052
Tb927.1.630,Tb927_01_v5.1,219176,220397
Tb927.1.640,Tb927_01_v5.1,220522,225689
Tb927.1.650,Tb927_01_v5.1,226020,226665
Tb927.1.670,Tb927_01_v5.1,228042,230110
Tb927.1.690,Tb927_01_v5.1,230313,231528
Tb927.1.700,Tb927_01_v5.1,232090,233904
Tb927.1.710,Tb927_01_v5.1,234054,235553
Tb927.1.720,Tb927_01_v5.1,235711,237504
Tb927.1.730,Tb927_01_v5.1,237631,239558
Tb927.1.740,Tb927_01_v5.1,240377,241710
Tb927.1.750,Tb927_01_v5.1,241928,245989
Tb927.1.760,Tb927_01_v5.1,246096,249006
Tb927.1.780,Tb927_01_v5.1,249193,250618
